date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2023-01-24,Tuesday,6,1,1,4,1,5,16.7,33.96,100540.26,3,2023-01-24 09:30:00,2023-01-24 15:45:00,2022-2024 (blind test)
2023-01-25,Wednesday,8,6,1,1,1,7,12.5,-174.72,100365.54,3,2023-01-25 09:45:00,2023-01-25 15:30:00,2022-2024 (blind test)
2023-01-26,Thursday,8,6,0,2,1,7,12.5,-144.72,100220.82,3,2023-01-26 09:30:00,2023-01-26 15:30:00,2022-2024 (blind test)
2023-01-27,Friday,16,11,1,4,3,13,18.8,165.06,100385.88,3,2023-01-27 09:30:00,2023-01-27 15:45:00,2022-2024 (blind test)
2023-01-30,Monday,8,6,0,2,1,7,12.5,-144.72,100241.16,3,2023-01-30 09:45:00,2023-01-30 15:15:00,2022-2024 (blind test)
2023-01-31,Tuesday,8,4,1,3,2,6,25.0,-401.22,99839.94,3,2023-01-31 09:30:00,2023-01-31 15:00:00,2022-2024 (blind test)
2023-02-01,Wednesday,12,5,0,7,4,8,33.3,1243.92,101083.86,3,2023-02-01 09:30:00,2023-02-01 15:45:00,2022-2024 (blind test)
2023-02-02,Thursday,11,7,1,3,0,11,0.0,-1177.74,99906.12,3,2023-02-02 09:45:00,2023-02-02 15:30:00,2022-2024 (blind test)
2023-02-03,Friday,4,2,0,2,2,2,50.0,962.64,100868.76,3,2023-02-03 09:30:00,2023-02-03 15:00:00,2022-2024 (blind test)
2023-02-06,Monday,4,3,0,1,2,2,50.0,434.64,101303.40,3,2023-02-06 09:45:00,2023-02-06 15:30:00,2022-2024 (blind test)
2023-02-07,Tuesday,8,3,0,5,3,5,37.5,1235.28,102538.68,3,2023-02-07 10:00:00,2023-02-07 15:30:00,2022-2024 (blind test)
2023-02-08,Wednesday,6,3,1,2,3,3,50.0,1362.96,103901.64,3,2023-02-08 09:30:00,2023-02-08 11:45:00,2022-2024 (blind test)
2023-02-09,Thursday,9,4,1,4,0,9,0.0,-969.06,102932.58,3,2023-02-09 10:00:00,2023-02-09 15:30:00,2022-2024 (blind test)
2023-02-10,Friday,7,4,1,2,2,5,28.6,619.62,103552.20,3,2023-02-10 09:45:00,2023-02-10 12:15:00,2022-2024 (blind test)
2023-02-13,Monday,8,6,1,1,3,5,37.5,869.28,104421.48,3,2023-02-13 09:45:00,2023-02-13 13:30:00,2022-2024 (blind test)
2023-02-14,Tuesday,8,3,0,5,2,6,25.0,545.28,104966.76,3,2023-02-14 09:30:00,2023-02-14 15:30:00,2022-2024 (blind test)
2023-02-15,Wednesday,7,3,1,3,3,4,42.9,-26.88,104939.88,3,2023-02-15 09:45:00,2023-02-15 14:15:00,2022-2024 (blind test)
2023-02-16,Thursday,8,3,1,4,4,4,50.0,1785.78,106725.66,3,2023-02-16 09:30:00,2023-02-16 15:45:00,2022-2024 (blind test)
2023-02-17,Friday,9,7,0,2,1,8,11.1,-733.56,105992.10,3,2023-02-17 09:45:00,2023-02-17 15:00:00,2022-2024 (blind test)
2023-02-21,Tuesday,10,9,0,1,1,9,10.0,-555.90,105436.20,3,2023-02-21 09:45:00,2023-02-21 15:30:00,2022-2024 (blind test)
2023-02-22,Wednesday,7,4,0,3,2,5,28.6,4.62,105440.82,3,2023-02-22 09:30:00,2023-02-22 15:00:00,2022-2024 (blind test)
2023-02-23,Thursday,7,6,0,1,2,5,28.6,360.12,105800.94,3,2023-02-23 09:45:00,2023-02-23 15:45:00,2022-2024 (blind test)
2023-02-24,Friday,7,4,1,2,3,4,42.9,87.12,105888.06,3,2023-02-24 09:45:00,2023-02-24 15:00:00,2022-2024 (blind test)
2023-02-27,Monday,5,2,0,3,1,4,20.0,168.30,106056.36,3,2023-02-27 09:30:00,2023-02-27 15:45:00,2022-2024 (blind test)
2023-02-28,Tuesday,6,3,0,3,1,5,16.7,-320.04,105736.32,3,2023-02-28 10:00:00,2023-02-28 15:30:00,2022-2024 (blind test)
2023-03-01,Wednesday,9,5,1,3,2,7,22.2,-99.06,105637.26,3,2023-03-01 09:30:00,2023-03-01 14:30:00,2022-2024 (blind test)
2023-03-02,Thursday,6,4,0,2,3,3,50.0,1052.46,106689.72,3,2023-03-02 09:45:00,2023-03-02 15:45:00,2022-2024 (blind test)
2023-03-03,Friday,9,7,1,1,0,9,0.0,-969.06,105720.66,3,2023-03-03 09:45:00,2023-03-03 15:00:00,2022-2024 (blind test)
2023-03-06,Monday,10,8,0,2,2,8,20.0,116.10,105836.76,3,2023-03-06 09:30:00,2023-03-06 15:30:00,2022-2024 (blind test)
2023-03-07,Tuesday,7,5,0,2,4,3,57.1,1401.12,107237.88,3,2023-03-07 10:00:00,2023-03-07 15:00:00,2022-2024 (blind test)
2023-03-08,Wednesday,6,0,0,6,1,5,16.7,63.96,107301.84,3,2023-03-08 09:45:00,2023-03-08 15:45:00,2022-2024 (blind test)
2023-03-09,Thursday,13,8,1,4,3,10,23.1,523.08,107824.92,3,2023-03-09 09:45:00,2023-03-09 15:30:00,2022-2024 (blind test)
2023-03-10,Friday,5,3,0,2,2,3,40.0,585.30,108410.22,3,2023-03-10 09:45:00,2023-03-10 14:00:00,2022-2024 (blind test)
2023-03-13,Monday,4,3,0,1,1,3,25.0,272.64,108682.86,3,2023-03-13 09:45:00,2023-03-13 12:00:00,2022-2024 (blind test)
