month,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,gross_pnl,total_costs,net_pnl,cumulative_pnl,best_trade,worst_trade,avg_trade,median_trade,best_day,worst_day,trading_days,avg_trades_per_day,max_consecutive_wins,max_consecutive_losses,avg_bars_held,data_period,validation_status
2018-12,132,71,5,56,29,103,22.0,2092.50,1496.88,595.62,-9407.04,705.66,-134.34,4.51,-104.34,703.26,-554.22,18,7.3,2,10,2.3,"2018-2019 (NQ, pre-MNQ)",blind
2019-01,133,73,10,50,47,86,35.3,3312.00,1508.22,1803.78,-7603.26,705.66,-134.34,13.56,-104.34,1473.96,-499.56,22,6.0,4,7,3.3,"2018-2019 (NQ, pre-MNQ)",blind
2019-02,95,45,9,41,39,56,41.1,1269.00,1077.30,191.70,-7411.56,585.66,-134.34,2.02,-30.84,561.96,-482.04,20,4.8,4,4,4.0,"2018-2019 (NQ, pre-MNQ)",blind
2019-03,126,71,8,47,45,81,35.7,259.50,1428.84,-1169.34,-8580.90,585.66,-134.34,-9.28,-104.34,744.96,-682.38,21,6.0,3,8,3.3,"2018-2019 (NQ, pre-MNQ)",blind
2019-04,108,56,9,43,41,67,38.0,-195.00,1224.72,-1419.72,-10000.62,350.16,-134.34,-13.15,-26.34,782.46,-465.54,21,5.1,6,8,4.1,"2018-2019 (NQ, pre-MNQ)",blind
2019-05,153,90,11,52,45,108,29.4,2671.50,1735.02,936.48,-9064.14,585.66,-134.34,6.12,-104.34,679.08,-852.24,23,6.7,4,9,2.9,"2018-2019 (NQ, pre-MNQ)",blind
2019-06,119,66,9,44,38,81,31.9,1065.00,1349.46,-284.46,-9348.60,585.66,-134.34,-2.39,-104.34,411.12,-362.70,20,6.0,3,9,3.3,2020-2021 (extended blind),blind
2019-07,115,58,10,47,52,63,45.2,2616.00,1304.10,1311.90,-8036.70,585.66,-134.34,11.41,-18.84,735.30,-451.56,23,5.0,4,4,4.2,2020-2021 (extended blind),blind
2019-08,144,81,12,51,41,103,28.5,736.50,1632.96,-896.46,-8933.16,585.66,-134.34,-6.23,-104.34,884.64,-943.08,22,6.5,3,12,2.8,2020-2021 (extended blind),blind
2019-09,121,64,10,47,40,81,33.1,-1152.00,1372.14,-2524.14,-11457.30,585.66,-134.34,-20.86,-104.34,641.28,-433.20,21,5.8,3,8,3.4,2020-2021 (extended blind),blind
2019-10,140,76,11,53,48,92,34.3,1356.00,1587.60,-231.60,-11688.90,585.66,-134.34,-1.65,-104.34,841.62,-585.90,23,6.1,3,7,3.4,2020-2021 (extended blind),blind
2019-11,105,53,4,48,38,67,36.2,-1236.00,1190.70,-2426.70,-14115.60,585.66,-134.34,-23.11,-62.34,541.14,-548.04,21,5.0,2,8,3.6,2020-2021 (extended blind),blind
2019-12,106,58,8,40,35,71,33.0,39.00,1202.04,-1163.04,-15278.64,585.66,-134.34,-10.97,-42.84,570.12,-480.72,20,5.3,4,10,4.1,2020-2021 (extended blind),blind
2020-01,128,64,10,54,40,88,31.2,1341.00,1451.52,-110.52,-15389.16,585.66,-134.34,-0.86,-104.34,929.10,-578.22,22,5.8,3,6,3.6,2020-2021 (extended blind),blind
2020-02,126,76,10,40,40,86,31.7,2397.00,1428.84,968.16,-14421.00,585.66,-134.34,7.68,-104.34,718.80,-521.70,20,6.3,5,12,3.1,2020-2021 (extended blind),blind
2020-03,127,73,5,49,36,91,28.3,11323.50,1440.18,9883.32,-4537.68,705.66,-134.34,77.82,-104.34,1794.48,-479.22,22,5.8,4,10,1.5,2020-2021 (extended blind),blind
2020-04,146,82,15,49,27,119,18.5,-1339.50,1655.64,-2995.14,-7532.82,705.66,-134.34,-20.51,-104.34,937.92,-1075.74,21,7.0,3,18,2.2,2020-2021 (extended blind),blind
2020-05,144,82,5,57,40,104,27.8,1576.50,1632.96,-56.46,-7589.28,705.66,-134.34,-0.39,-104.34,870.12,-521.70,21,6.9,3,9,2.4,2020-2021 (extended blind),blind
2020-06,147,88,3,56,31,116,21.1,628.50,1666.98,-1038.48,-8627.76,705.66,-134.34,-7.06,-104.34,1066.98,-1308.60,22,6.7,2,10,2.1,2020-2021 (extended blind),blind
2020-07,159,88,10,61,37,122,23.3,5700.00,1803.06,3896.94,-4730.82,705.66,-134.34,24.51,-104.34,1808.40,-666.42,23,6.9,2,12,2.1,2020-2021 (extended blind),blind
2020-08,147,77,10,60,34,113,23.1,294.00,1666.98,-1372.98,-6103.80,705.66,-134.34,-9.34,-104.34,1309.62,-783.90,21,7.0,2,14,2.4,2020-2021 (extended blind),blind
2020-09,164,94,8,62,41,123,25.0,7453.50,1859.76,5593.74,-510.06,705.66,-134.34,34.11,-104.34,1618.26,-834.72,21,7.8,5,13,1.8,2020-2021 (extended blind),blind
2020-10,146,76,11,59,36,110,24.7,5557.50,1655.64,3901.86,3391.80,705.66,-134.34,26.73,-104.34,1564.44,-551.70,22,6.6,2,12,2.1,2020-2021 (extended blind),blind
